TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_OUT,PPFD_OUT_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_2,TS_F_MDS_3,TS_F_MDS_4,TS_F_MDS_5,TS_F_MDS_6,TS_F_MDS_1_QC,TS_F_MDS_2_QC,TS_F_MDS_3_QC,TS_F_MDS_4_QC,TS_F_MDS_5_QC,TS_F_MDS_6_QC,SWC_F_MDS_1,SWC_F_MDS_2,SWC_F_MDS_3,SWC_F_MDS_4,SWC_F_MDS_5,SWC_F_MDS_6,SWC_F_MDS_1_QC,SWC_F_MDS_2_QC,SWC_F_MDS_3_QC,SWC_F_MDS_4_QC,SWC_F_MDS_5_QC,SWC_F_MDS_6_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
200801,12.306,0.0,236.541,17.866,0.0,267.823,0.0,12.738,0.0,87.253,0.0,11.849,0.0,1.397,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.14813,0.0,20.2738,0.0,24.0989,-9999,41.0194,0.0,48.7585,-9999,-0.325803,0.0,-9999,-0.329735,-0.322951,-0.313303,0.0,0.0,0.0,0.452213,0.467805,0.473709,0.47567,0.793516,0.781108,0.796643,0.805251,0.0281173,0.0207679,0.0281173,0.0429902,0.0153455,0.0146888,0.0153455,0.0163738,-9999,-9999
200802,13.897,0.0,293.143,27.299,0.0,285.314,0.0,13.272,0.0,87.251,0.0,1.56,0.0,1.52,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.07304,0.0,20.3362,0.0,23.5117,-9999,40.8495,0.0,47.228,-9999,-0.327618,0.0,-9999,-0.331495,-0.324609,-0.315537,0.0,0.0,0.0,0.483997,0.499695,0.505773,0.508477,0.827378,0.815233,0.830387,0.839101,0.0298113,0.0222093,0.0298113,0.044834,0.0240611,0.022998,0.0240611,0.0257211,-9999,-9999
200803,14.856,0.789651,364.953,38.323,0.0,288.129,0.0,14.166,0.789651,87.424,0.670699,0.296,0.789651,2.396,0.670699,0.2883745833333333,0.6451612903225806,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,381.458,0.665323,14.577,14.689,14.031,13.896,13.624,13.676,0.783602,0.783602,0.783602,0.783602,0.783602,0.807124,6.064,8.691,13.449,11.667,9.802,14.538,0.784274,0.784274,0.784274,0.784274,0.784274,0.785618,7.35683,0.788978,27.3577,0.648522,29.9128,0.266793,46.5672,0.659946,50.9163,1.33684,-0.3157,0.527554,0.0405818,-0.333356,-0.324662,-0.304346,0.561828,0.543011,0.499328,0.59727,0.593747,0.601573,0.610651,0.926395,0.915914,0.921744,0.928553,0.0308683,0.0231694,0.0308683,0.0458362,0.0316428,0.0303505,0.0316428,0.0336758,-9999,-9999
200804,18.125,0.699306,427.562,159.294,0.394444,288.14,0.3875,17.565,0.699306,87.288,0.214583,0.195,0.690972,2.817,0.214583,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,379.027,0.375694,22.034,20.875,19.769,19.105,18.469,18.451,1.0,1.0,1.0,1.0,1.0,1.0,3.638,6.311,10.618,9.398,8.49,13.625,1.0,1.0,1.0,1.0,1.0,1.0,10.5687,0.698611,17.5833,0.374306,17.1041,0.14313,77.3696,0.377083,75.2613,0.637194,0.133954,0.365972,0.0113143,0.123024,0.128682,0.141583,0.365278,0.365972,0.357639,0.642224,0.638227,0.641268,0.644194,0.510699,0.493362,0.510699,0.519568,0.269828,0.245536,0.269828,0.306285,0.17899,0.168477,0.17899,0.194133,-9999,-9999
200805,20.532,0.987231,466.684,336.193,0.988575,298.816,0.987231,20.383,0.987231,87.162,0.889785,0.428,0.981855,2.774,0.981855,0.3493763888888889,0.967741935483871,113.5264526388889,0.967741935483871,634.3711537500001,0.967741935483871,-9999,-9999,80.01546402777778,0.967741935483871,445.2158406944444,0.967741935483871,372.469,0.971102,26.512,25.245,23.998,23.351,22.647,22.902,1.0,1.0,1.0,1.0,1.0,1.0,3.925,4.603,8.939,7.567,6.621,11.479,1.0,1.0,1.0,1.0,1.0,1.0,8.87641,0.986559,24.0513,0.964382,23.3959,0.330533,83.3714,0.978495,81.0996,0.606705,0.385946,0.958333,0.0127858,0.377104,0.3805,0.400475,0.962366,0.958333,0.956989,0.768162,0.762221,0.765274,0.823586,0.383807,0.384105,0.38717,0.421409,0.939135,0.781158,0.87209,0.941597,0.271755,0.19686,0.240573,0.272989,-9999,-9999
200806,27.832,1.0,480.963,337.078,1.0,344.476,1.0,31.34,1.0,87.361,1.0,1.973,1.0,2.511,0.999306,0.29286491134751774,0.9993055555555556,112.07090583333334,1.0,632.5835578472222,1.0,-9999,-9999,79.55935034722224,1.0,489.16734993055553,1.0,386.754,0.999306,32.901,31.315,29.417,28.276,27.078,27.371,1.0,1.0,1.0,1.0,1.0,1.0,4.201,5.375,8.974,7.294,5.651,9.615,1.0,1.0,1.0,1.0,1.0,1.0,12.4937,1.0,25.839,0.999306,25.6509,0.434461,74.1339,1.0,73.5944,0.578435,0.858524,0.996528,0.0222158,0.851545,0.854399,0.863072,0.997222,0.997222,0.979167,1.15857,1.12695,1.13629,1.15569,0.299086,0.273472,0.279942,0.296414,1.69184,1.64048,1.68698,1.71551,0.511062,0.514511,0.5364,0.565284,-9999,-9999
200807,24.891,1.0,471.926,262.112,1.0,384.112,1.0,14.106,1.0,87.457,0.990591,5.195,1.0,1.777,0.984543,0.23523641206414217,0.9845430107526882,150.50407116935483,1.0,507.9854743279571,1.0,-9999,-9999,45.88141418010754,1.0,449.49081639784936,1.0,400.519,1.0,26.414,26.606,26.303,26.087,25.872,26.534,1.0,1.0,1.0,1.0,1.0,1.0,11.057,11.895,14.916,12.132,9.846,15.182,1.0,1.0,1.0,1.0,1.0,1.0,5.99179,1.0,101.386,0.998656,122.485,0.71541,17.8525,1.0,21.5676,0.478216,-0.965818,0.991935,0.0565639,-1.03377,-0.962363,-0.923781,0.995968,0.991935,0.988575,4.69833,4.68134,4.69833,4.74631,5.66477,5.61519,5.70084,5.72238,4.70946,4.55524,4.70125,4.73667,5.85666,5.80561,5.85666,5.88822,-9999,-9999
200808,24.391,1.0,439.277,249.717,1.0,380.81,1.0,13.08,1.0,87.366,0.903898,3.736,0.99328,1.613,0.903898,0.22575975274725274,0.8884408602150536,145.697431815931,0.993279569892473,479.79023551570464,0.993279569892473,-9999,-9999,41.94314364742501,0.993279569892473,442.8592669071874,0.993279569892473,397.507,0.997312,25.431,25.589,25.527,25.377,25.222,25.976,1.0,1.0,1.0,1.0,1.0,1.0,8.928,9.624,11.979,10.524,9.904,16.435,1.0,1.0,1.0,1.0,1.0,1.0,1.66259,1.0,87.5906,0.995968,113.939,0.605319,22.6076,0.997312,29.4081,0.446164,-2.00585,0.977151,0.049865,-1.98775,-1.97546,-1.95355,0.973118,0.961022,0.987231,3.5395,3.46978,3.55995,3.64384,5.53264,5.45336,5.54769,5.59745,5.02481,4.5488,4.7243,4.90219,6.25477,6.00597,6.11632,6.20258,-9999,-9999
200809,23.916,1.0,384.739,255.599,1.0,346.808,1.0,17.564,1.0,87.437,1.0,1.008,1.0,2.482,0.998611,0.3362532548309179,0.9986111111111112,115.18087298611111,1.0,482.28836673611113,1.0,-9999,-9999,48.2724975,1.0,438.2628430555557,1.0,386.853,1.0,23.852,23.908,23.656,23.63,23.621,24.498,1.0,1.0,1.0,1.0,1.0,1.0,7.415,9.196,11.942,8.958,8.543,14.344,1.0,1.0,1.0,1.0,1.0,1.0,3.05771,1.0,69.1443,0.999306,86.3512,0.583114,20.5718,0.998611,25.6912,0.496936,-1.06413,0.997917,0.0286007,-1.0865,-1.06659,-1.05754,0.998611,0.997917,0.997917,2.34165,2.33034,2.33425,2.36361,3.40966,3.40343,3.41347,3.41831,2.13707,2.07884,2.10491,2.13687,3.29096,3.27132,3.27706,3.29107,-9999,-9999
200810,20.72,1.0,315.46,223.214,1.0,304.705,1.0,18.804,1.0,87.586,1.0,0.107,1.0,2.737,1.0,0.3332093413978494,1.0,56.05546565860217,1.0,411.5363046370968,1.0,-9999,-9999,53.64697681451613,1.0,417.170634139785,1.0,382.8,1.0,20.03,20.372,20.829,21.339,21.735,22.882,1.0,1.0,1.0,1.0,1.0,1.0,4.196,5.997,9.334,7.851,7.31,11.989,1.0,1.0,1.0,1.0,1.0,1.0,-0.204077,1.0,20.1593,1.0,22.8767,0.251051,29.4175,1.0,33.3829,0.472739,0.184567,0.997984,0.0140646,0.177672,0.184562,0.189596,0.997984,0.997984,0.997312,0.797943,0.79163,0.795946,0.804748,0.612677,0.611341,0.613377,0.614696,0.789331,0.765641,0.785154,0.793248,0.651838,0.64105,0.649132,0.654916,-9999,-9999
