TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_OUT,PPFD_OUT_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_2,TS_F_MDS_3,TS_F_MDS_4,TS_F_MDS_5,TS_F_MDS_6,TS_F_MDS_7,TS_F_MDS_8,TS_F_MDS_1_QC,TS_F_MDS_2_QC,TS_F_MDS_3_QC,TS_F_MDS_4_QC,TS_F_MDS_5_QC,TS_F_MDS_6_QC,TS_F_MDS_7_QC,TS_F_MDS_8_QC,SWC_F_MDS_1,SWC_F_MDS_2,SWC_F_MDS_3,SWC_F_MDS_4,SWC_F_MDS_5,SWC_F_MDS_6,SWC_F_MDS_7,SWC_F_MDS_8,SWC_F_MDS_1_QC,SWC_F_MDS_2_QC,SWC_F_MDS_3_QC,SWC_F_MDS_4_QC,SWC_F_MDS_5_QC,SWC_F_MDS_6_QC,SWC_F_MDS_7_QC,SWC_F_MDS_8_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
200401,10.429,1.0,236.319,109.427,0.833333,292.502,0.826613,7.134,1.0,89.024,0.821237,0.5,1.0,2.281,0.823253,0.31577641987179483,0.8232526881720431,37.84251416666667,0.8064516129032258,262.2713385833333,0.8064516129032258,26.147793333333333,0.8064516129032258,19.30677,0.8064516129032258,365.2153333333333,0.8064516129032258,376.229,0.825941,10.42,10.43,11.044,12.017,12.147,12.962,14.468,15.235,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.686,5.064,6.577,5.708,6.116,5.06,4.912,4.351,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-2.8597,1.0,10.7146,0.825941,11.186,0.274953,28.0998,0.825941,29.3362,0.508583,0.33152,0.786962,0.00692424,0.252814,0.314515,0.344852,0.813172,0.795699,0.770833,0.25736,0.153923,0.249971,0.267132,-0.0653457,-0.0810922,-0.0691169,-0.0585178,0.212416,0.200352,0.218584,0.265008,0.021141,0.0214962,0.024441,0.0295282,-9999,-9999
200402,9.373,1.0,292.949,187.242,1.0,272.065,1.0,8.487,1.0,88.984,1.0,0.359,1.0,2.454,0.999282,0.29570933908045977,0.9992816091954022,66.5791558908046,1.0,373.35417995689653,1.0,39.1086724137931,1.0,28.717038074712644,1.0,362.7877873563218,1.0,378.001,0.999282,11.663,11.688,11.912,12.535,12.493,13.009,14.091,14.163,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.248,4.603,6.896,5.705,6.184,5.048,4.894,4.366,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.80278,1.0,12.705,0.999282,12.9409,0.286159,54.2976,1.0,55.3058,0.601104,0.247092,0.969828,0.00566019,0.220957,0.234043,0.258084,0.989943,0.979167,0.966954,0.162641,0.139585,0.159751,0.198943,-0.0750993,-0.0813716,-0.0722501,-0.0604979,0.283667,0.218082,0.243949,0.301212,0.0500685,0.00825696,0.0153258,0.0349766,-9999,-9999
200403,18.365,1.0,364.814,227.681,1.0,314.058,1.0,16.931,1.0,88.953,1.0,0.59,1.0,3.086,0.989247,0.40853345605423097,0.989247311827957,91.5612197580645,1.0,452.2729413306452,1.0,44.99389717741934,1.0,32.659909274193545,1.0,416.3238575268817,1.0,372.715,0.999328,20.146,19.944,19.53,18.775,18.181,17.528,16.976,16.831,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.016,4.655,7.357,5.819,6.315,5.085,4.905,4.33,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.32996,1.0,15.9913,0.999328,17.9222,0.298754,59.9312,1.0,67.1674,0.632238,0.474539,0.977151,0.00737339,0.440868,0.458596,0.495029,0.991263,0.979167,0.97043,0.477126,0.446854,0.477126,0.50488,0.0159966,-0.00112265,0.00971134,0.0159966,0.415294,0.407529,0.418742,0.460316,0.0226899,0.0170475,0.0237283,0.0333425,-9999,-9999
200404,17.728,1.0,427.497,283.445,1.0,308.13,1.0,15.997,1.0,88.784,0.804167,0.94,1.0,3.038,0.999306,0.3971972325650118,0.9993055555555554,129.45121523345153,0.9993055555555554,550.476886787825,0.9993055555555554,52.074059145981096,0.9993055555555554,40.204258333333335,0.9993055555555554,420.30196513002363,0.9993055555555554,382.964,0.988194,21.935,22.031,21.921,21.63,21.248,20.841,20.273,20.292,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.085,4.736,7.885,6.104,6.554,5.16,4.944,4.321,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.7091,1.0,25.4817,0.999306,29.0433,0.339265,85.1674,1.0,97.0712,0.683298,0.0442968,0.959722,0.0120156,0.0309338,0.0391149,0.0557725,0.982639,0.913889,0.928472,0.82275,0.749315,0.806256,0.822092,0.762603,0.729767,0.762822,0.771833,0.659124,0.66868,0.683755,0.741845,0.695865,0.690071,0.70276,0.715938,-9999,-9999
200405,24.451,1.0,466.685,342.339,1.0,325.598,1.0,28.058,1.0,88.775,1.0,0.0,1.0,3.031,1.0,0.3900273521505377,1.0,149.0685262096774,1.0,652.1817921370969,1.0,63.63289112903227,1.0,51.10932728494623,1.0,466.1115591397849,1.0,378.684,1.0,29.838,29.544,28.538,27.366,26.805,25.816,24.323,24.327,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.028,1.449,4.489,5.778,6.295,5.109,4.944,4.297,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.26631,1.0,15.4072,1.0,17.3219,0.20452,109.831,1.0,123.48,0.692822,-0.0836529,0.97043,0.0110537,-0.132192,-0.0980413,-0.0740216,0.995296,0.975134,0.938844,0.59124,0.583098,0.593307,0.596707,0.689281,0.672636,0.689281,0.714441,0.622222,0.626691,0.643574,0.70118,0.716864,0.716381,0.722759,0.795676,-9999,-9999
200406,28.158,1.0,480.998,350.685,1.0,348.348,1.0,34.721,1.0,88.764,1.0,0.178,1.0,2.856,1.0,0.36622069444444444,1.0,153.74757916666667,1.0,668.0412420138889,1.0,67.44767569444446,1.0,53.27874444444445,1.0,490.3100694444445,1.0,367.173,1.0,33.566,33.356,32.258,30.784,30.251,29.181,27.513,27.634,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.96,1.353,3.619,5.282,5.93,4.922,4.861,4.243,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.87695,1.0,14.6384,1.0,16.2447,0.324677,116.81,1.0,129.628,0.702566,0.593109,0.969444,0.0159501,0.465509,0.564852,0.645733,0.984722,0.975,0.958333,0.619298,0.550548,0.608417,0.619161,0.0439913,-0.0539753,0.0479732,0.0865096,0.761803,0.759118,0.838072,1.00516,0.261323,0.255628,0.310516,0.365614,-9999,-9999
200407,27.682,1.0,471.945,281.11,1.0,383.906,1.0,25.293,1.0,88.925,1.0,3.13,1.0,2.308,0.997984,0.3182710489963494,0.9979838709677419,143.91338104838707,1.0,557.2119758064516,1.0,54.19692271505376,1.0,40.903509408602154,1.0,479.07715053763434,1.0,381.614,1.0,31.053,31.138,30.907,30.409,30.084,29.568,28.602,28.87,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.503,5.176,7.871,7.388,7.788,5.232,4.812,4.21,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.32671,1.0,42.8717,0.997312,49.5204,0.624207,77.5408,1.0,89.5662,0.676171,1.22728,0.917339,0.02154,1.07789,1.18154,1.20282,0.856183,0.889785,0.932124,2.08221,1.9124,2.06915,2.11869,0.879393,0.815943,0.891265,0.913237,2.4523,2.33815,2.53704,2.83502,0.934907,0.908813,0.959451,1.06434,-9999,-9999
200408,26.576,1.0,439.238,258.3,1.0,380.068,1.0,22.311,1.0,89.001,1.0,1.549,1.0,2.163,1.0,0.28565793010752694,1.0,133.71890188172043,1.0,516.7323188172043,1.0,42.38293413978495,1.0,38.040162634408595,1.0,465.690188172043,1.0,360.161,0.998656,28.643,28.857,28.841,28.812,28.516,28.316,27.885,28.244,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.464,5.183,7.894,8.889,9.762,6.9,4.881,4.293,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.49774,1.0,63.7379,0.99664,72.4732,0.659853,50.2278,1.0,57.1116,0.594587,-0.0895138,0.900538,0.0272265,-0.325406,-0.155965,-0.0225494,0.956317,0.920699,0.870296,2.3765,2.25754,2.35969,2.39456,2.49948,2.33114,2.5022,2.6,2.43031,2.40763,2.4462,2.56923,2.63721,2.62116,2.66374,2.70555,-9999,-9999
200409,25.367,1.0,384.628,253.294,1.0,355.557,1.0,23.824,1.0,88.785,1.0,0.279,1.0,2.578,1.0,0.35340034722222224,1.0,106.14811875,1.0,502.9658523611111,1.0,46.75392361111112,1.0,40.08032708333333,1.0,461.36819444444444,1.0,375.017,0.999306,30.088,30.296,30.03,29.867,29.39,29.016,28.381,28.549,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.809,2.39,4.743,5.93,6.523,5.388,4.917,4.327,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.68324,1.0,24.2573,0.999306,26.4545,0.423997,70.4252,1.0,76.8044,0.680276,-0.0228291,0.947222,0.0125701,-0.0263758,-0.0121485,-0.00584,0.988889,0.945139,0.977083,0.913355,0.870885,0.906658,0.93713,0.948328,0.881554,0.930229,0.941544,0.945855,0.899461,0.948194,1.03325,0.934536,0.909707,0.950542,1.01206,-9999,-9999
200410,19.624,1.0,315.286,214.806,1.0,321.269,1.0,16.687,1.0,88.76,1.0,0.967,1.0,2.607,0.978495,0.36236646631463215,0.9784946236559141,75.74124529569892,1.0,424.9132065188172,1.0,43.99146908602151,1.0,36.63909543010753,1.0,422.39206989247316,1.0,377.695,1.0,24.24,24.532,24.646,25.415,25.346,25.721,26.167,26.291,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.989,3.781,5.954,5.649,6.263,5.204,4.874,4.34,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-3.31926,1.0,18.4057,1.0,19.2356,0.356696,57.2439,1.0,59.8249,0.679345,-0.0586446,0.977823,0.00912128,-0.0668016,-0.0562972,-0.0465538,0.965726,0.995968,0.989919,0.518672,0.512124,0.51846,0.525679,0.582745,0.559482,0.567771,0.592295,0.437353,0.420371,0.451339,0.536211,0.568762,0.561931,0.58887,0.671739,-9999,-9999
