SurveyType,Bearing,Species,Cover,Height,Diam,
L,0,MES,1.38,,,
L,0,MES,3.75,,,
L,0,MES,5.46,,,
L,0,MES,7.58,,,
L,0,HAC,3.85,,,
L,45,MES,1.12,,,
L,45,MES,2,,,
L,45,MES,5.15,,,
L,45,MES,0.73,,,
L,45,MES,2.01,,,
L,45,MES,12.81,,,
L,45,HAC,4.71,,,
L,90,MES,6.28,,,
L,90,MES,3.36,,,
L,90,MES,1.21,,,
L,90,MES,3.93,,,
L,90,MES,2.57,,,
L,90,CHO,0.17,,,
L,135,MES,2.27,,,
L,135,MES,1.19,,,
L,135,MES,5.3,,,
L,135,MES,0.87,,,
L,135,MES,2.62,,,
L,135,MES,4.47,,,
L,135,MES,5.26,,,
L,135,HAC,0.89,,,
L,135,HAC,2.65,,,
L,135,PP,0.46,,,
L,180,MES,1.99,,,
L,180,MES,4.19,,,
L,180,MES,1.3,,,
L,180,MES,7.8,,,
L,180,MES,1.7,,,
L,180,MES,0.83,,,
L,180,HAC,1.44,,,
L,225,MES,7.64,,,
L,225,MES,1.44,,,
L,225,HAC,0.17,,,
L,225,HAC,0.71,,,
L,225,HAC,3.4,,,
L,270,MES,5.46,,,
L,270,MES,4.37,,,
L,270,MES,5.35,,,
L,270,MES,2.08,,,
L,270,HAC,2.2,,,
L,270,HAC,1.1,,,
L,270,HAC,1.53,,,
L,315,MES,2.84,,,
L,315,MES,4.47,,,
L,315,MES,13.2,,,
L,315,MES,2.3,,,
L,315,Bar,0.33,,,
B,0,ACA,,100,2.2,
B,0,MES,,1050,69.22484,
B,45,HAC,,400,43,
B,45,CHO,,100,4.5,
B,45,MES,,2095,185.1083,
B,90,PP,,52,5.9,
B,90,BRL,,155,85,
B,90,CHO,,20,1.1,
B,90,MES,,2055,114.8121,
B,135,PP,,95,12.4,
B,135,CHO,,70,3.4,
B,135,HAC,,540,27,
B,135,MES,,2035,150.9045,
B,180,MES,,940,100.9172,
B,180,HAC,,550,13,
B,180,CHO,,120,4.4,
B,225,MES,,1090,70.76815,
B,225,HAC,,225,40,
B,225,CHO,,23,1.4,
B,270,MES,,1370,110.5096,
B,270,HAC,,320,7.5,
B,270,CHO,,2.1,37,
B,315,MES ,,1760,125.2771,
B,315,BAR,,36,29,
