Site,Date,Quadrant,ID,Species,Distance,BasalDiameter,CrownDiameter,Height,StemCount
US-SRG,5/28/2025,NE,1,CHO,34.1,4,0.2,0.63,
US-SRG,5/28/2025,NE,1,,,,1.5,,
US-SRG,5/28/2025,NE,2,MES,49.3,12,3.7,2.6,
US-SRG,5/28/2025,NE,2,,,,3.1,,
US-SRG,5/28/2025,NE,3,MES,47.4,21,3.2,2.4,
US-SRG,5/28/2025,NE,3,,,,3.2,,
US-SRG,5/28/2025,NE,4,MES,52.3,23,4,3.1,
US-SRG,5/28/2025,NE,4,,,,4.5,,
US-SRG,5/28/2025,NE,5,MES,34.5,30,5.5,4.1,
US-SRG,5/28/2025,NE,5,,,,5,,
US-SRG,5/28/2025,NE,6,MES,75.3,11,2.8,2.3,
US-SRG,5/28/2025,NE,6,,,,2.9,,
US-SRG,5/28/2025,NE,7,MES,74.7,15,2.5,2.3,
US-SRG,5/28/2025,NE,7,,,18,2.5,,
US-SRG,5/28/2025,NE,8,MES,75.3,13,2.9,2.16,2
US-SRG,5/28/2025,NE,8,,,17,2.8,,
US-SRG,5/28/2025,NE,9,MES,76.8,15,2.65,2.4,
US-SRG,5/28/2025,NE,9,,,19,3,,
US-SRG,5/28/2025,NE,10,MES,62.3,20,5.5,4.3,
US-SRG,5/28/2025,NE,10,,,22,5.6,,
US-SRG,5/28/2025,NE,11,CHO,44.7,4,0.5,0.76,
US-SRG,5/28/2025,NE,11,,,,0.48,,
US-SRG,5/28/2025,NE,12,CHO,45.4,4,0.4,0.62,
US-SRG,5/28/2025,NE,12,,,,0.3,,
US-SRG,5/28/2025,NE,13,MES,67.6,20,5,3.6,
US-SRG,5/28/2025,NE,13,,,21,5.5,,
US-SRG,5/28/2025,NE,14,CHO,41.1,4,0.3,0.55,
US-SRG,5/28/2025,NE,14,,,,0.32,,
US-SRG,5/28/2025,NE,15,MES,48.7,14,3.9,2.7,2
US-SRG,5/28/2025,NE,15,,,15,3.9,,
US-SRG,5/28/2025,NE,16,MES,38.3,15,4.7,3.5,
US-SRG,5/28/2025,NE,16,,,,0.54,,
US-SRG,5/28/2025,NE,17,MES,36.7,12,3.4,2.8,
US-SRG,5/28/2025,NE,17,,,,2.8,,
US-SRG,5/28/2025,NE,18,MES,44,21,5.2,4.2,
US-SRG,5/28/2025,NE,18,,,,5.9,,
US-SRG,5/28/2025,NE,19,MES,48,21,6.5,4.2,
US-SRG,5/28/2025,NE,19,,,,5.5,,
US-SRG,5/28/2025,NE,20,MES,57,23,6.3,4.5,
US-SRG,5/28/2025,NE,20,,,,6.4,,
US-SRG,5/28/2025,NE,21,MES,61.8,27,3.6,3.5,
US-SRG,5/28/2025,NE,21,,,,3.9,,
US-SRG,5/28/2025,NE,22,MES,65.6,18,4.1,4,
US-SRG,5/28/2025,NE,22,,,,4.2,,
US-SRG,5/28/2025,NE,23,MES,68.5,15,2,2.3,
US-SRG,5/28/2025,NE,23,,,,2.8,,
US-SRG,5/28/2025,NE,24,MES,70.5,25,4.1,3,
US-SRG,5/28/2025,NE,24,,,,4.4,,
US-SRG,5/28/2025,NE,25,CHO,46.7,4,0.49,0.97,
US-SRG,5/28/2025,NE,25,,,4,0.2,,
US-SRG,5/28/2025,NE,26,MES,16.7,25,6.2,3.9,
US-SRG,5/28/2025,NE,26,,,,6.7,,
US-SRG,5/28/2025,NE,27,MES,25.6,11,2.3,2.1,
US-SRG,5/28/2025,NE,27,,,,2.2,,
US-SRG,5/28/2025,NE,28,MES,35.1,16,2.9,2.5,
US-SRG,5/28/2025,NE,28,,,,2.9,,
US-SRG,5/28/2025,NE,29,MES,70.5,0.34,3.2,3,
US-SRG,5/28/2025,NE,29,,,0.32,,,
US-SRG,5/28/2025,NE,30,MES,70.2,30,6.3,4.5,
US-SRG,5/28/2025,NE,30,,,44,7.9,,
US-SRG,5/28/2025,NE,31,MES,71.7,14,1.8,1.9,
US-SRG,5/28/2025,NE,31,,,,1.8,,
US-SRG,5/28/2025,NE,32,MES,23.9,43,3.8,2.71,15
US-SRG,5/28/2025,NE,32,,,,4.8,,
US-SRG,5/28/2025,NE,33,MES,16.5,16,3.4,2.8,
US-SRG,5/28/2025,NE,33,,,,3.7,,
US-SRG,5/28/2025,NE,34,MES,26.9,27,4,,
US-SRG,5/28/2025,NE,34,,,54,4.5,,
US-SRG,5/28/2025,NE,35,MES,26.4,16,2.2,2.8,
US-SRG,5/28/2025,NE,35,,,,1.5,,
US-SRG,5/28/2025,NE,36,MES,39,29,5.8,4,
US-SRG,5/28/2025,NE,36,,,,6,,
US-SRG,5/28/2025,NE,37,MES,39.5,41,7.5,4.2,
US-SRG,5/28/2025,NE,37,,,,7.5,,
US-SRG,5/28/2025,NE,38,MES,48.6,0.8,3.6,3.5,
US-SRG,5/28/2025,NE,38,,,0.4,4.7,,
US-SRG,5/28/2025,NE,39,MES,57.9,52,3.9,2.6,
US-SRG,5/28/2025,NE,39,,,,4.9,,
US-SRG,5/28/2025,NE,40,MES,61.5,3.5,1.2,1.4,
US-SRG,5/28/2025,NE,40,,,,0.7,,
US-SRG,5/28/2025,NE,41,MES,61.9,17,2.3,1.7,
US-SRG,5/28/2025,NE,41,,,,2.7,,
US-SRG,5/28/2025,NE,42,MES,66.5,34,5.4,3.2,
US-SRG,5/28/2025,NE,42,,,,5.4,,
US-SRG,5/28/2025,NE,43,MES,64.4,0.9,0.7,0.6,
US-SRG,5/28/2025,NE,43,,,,,,
US-SRG,5/28/2025,NE,44,MES,64.5,25,5.6,3.6,
US-SRG,5/28/2025,NE,44,,,,5,,
US-SRG,5/28/2025,NE,45,MES,64,3.9,2,2.1,
US-SRG,5/28/2025,NE,45,,,,1.8,,
US-SRG,5/28/2025,NE,46,CHAC,62.2,6,1.2,1.27,
US-SRG,5/28/2025,NE,46,,,,0.9,,
US-SRG,5/28/2025,NE,47,CHAC,61.6,4,1.6,1.7,
US-SRG,5/28/2025,NE,47,,,,1.2,,
US-SRG,5/28/2025,NE,48,CHAC,57.3,,3.1,1.6,
US-SRG,5/28/2025,NE,48,,,,3.9,,
US-SRG,5/28/2025,NE,49,MES,49.5,56,4.9,3.4,15
US-SRG,5/28/2025,NE,49,,,,4.7,,
US-SRG,5/28/2025,NE,50,MES,16.5,20,3.7,2.8,
US-SRG,5/28/2025,NE,50,,,,3.6,,
US-SRG,5/28/2025,NE,51,MES,12.5,21,2.9,2.15,
US-SRG,5/28/2025,NE,51,,,,2,,
US-SRG,5/28/2025,NE,52,CHO,21.8,4,0.6,0.34,
US-SRG,5/28/2025,NE,52,,,,0.18,,
US-SRG,5/28/2025,NE,53,MES,30.2,33,3.1,3,
US-SRG,5/28/2025,NE,53,,,,4.1,,
