ID,DendrometerID,TagID,Latitude,Longitude,StemCount,StemNumber,BasalDiameter,CanopyBearing,CanopyHeight,CanopyDiameter,Comments
1,,,31.821522,110.866236,4,1,2.8,N,1.4,2.24,ref dist 3m
1,,,,,,2,2.7,S,1.5,,
1,,,,,,3,2.4,NE,1.5,1.28,
1,,,,,,4,2.1,SW,1.5,,
1,,,,,,,,E,1.4,1.38,
1,,,,,,,,W,1.5,,
1,,,,,,,,SE,1.4,2.21,
1,,,,,,,,NW,1.6,,
2,,2999,31.821566,110.866397,2,1,22.3,N,4.6,7.19,ref dist 5m
2,,,,,,2,33,S,4.7,,
2,,,,,,,,NE,4.4,7.02,
2,,,,,,,,SW,4.3,,
2,,,,,,,,E,4.3,6.71,
2,,,,,,,,W,4.5,,
2,,,,,,,,SE,4.6,5.49,
2,,,,,,,,NW,5.3,,
3,,2998,31.821595,110.866470,5,1,12.4,N,3.8,5.29,ref dist 5m
3,,,,,,2,21.7,S,4.8,,
3,,,,,,3,21.7,NE,4.2,3.73,
3,,,,,,4,12.6,SW,4.5,,
3,,,,,,5,25.5,E,3.6,4.39,
3,,,,,,,,W,5.6,,
3,,,,,,,,SE,3.7,4.9,
3,,,,,,,,NW,5,,
4,,2997,31.821453,110.866394,3,1,4,N,2.4,3.28,ref dist 3m
4,,,,,,2,5,S,2.6,,
4,,,,,,3,2.4,NE,2.4,3.13,
4,,,,,,,,SW,2.8,,
4,,,,,,,,E,2.5,2.65,
4,,,,,,,,W,2.9,,
4,,,,,,,,SE,2.6,3.35,
4,,,,,,,,NW,2.7,,
5,,2996,31.821351,110.866372,1,1,27.5,N,3.4,3.42,ref dist 5m
5,,,,,,,,S,4.7,,
5,,,,,,,,NE,3.5,5.88,
5,,,,,,,,SW,4,,
5,,,,,,,,E,3.4,4.18,
5,,,,,,,,W,3.5,,
5,,,,,,,,SE,3.7,3.61,
5,,,,,,,,NW,3.1,,
6,2,2995,31.821397,110.866396,1,1,41.5,N,4.7,4.43,ref dist 5m
6,,,,,,,,S,4.3,,
