ID,Site,Bearing,CoverType,Start,Stop,BoleLocation,Position,CanopyDiameter,BasalDiameter,Height
1,US-SRM,0,GRA,32.06,32.32,,,,,
2,US-SRM,0,GRA,33.46,33.85,,,,,
3,US-SRM,0,GRA,34.29,34.5,,,,,
4,US-SRM,0,GRA,35.49,35.52,,,,,
5,US-SRM,0,GRA,35.96,36.08,,,,,
6,US-SRM,0,GRA,36.56,36.68,,,,,
7,US-SRM,0,GRA,37.6,37.68,,,,,
8,US-SRM,0,GRA,37.88,37.99,,,,,
9,US-SRM,0,GRA,38.88,39.28,,,,,
10,US-SRM,0,MES,,,0.22,R,0.91,1.906,0.62
10,US-SRM,0,MES,,,,,0.89,1.157,
10,US-SRM,0,MES,,,,,,0.855,
11,US-SRM,0,GRA,39.72,39.9,,,,,
12,US-SRM,0,GRA,40.62,40.86,,,,,
13,US-SRM,0,GRA,42.53,42.64,,,,,
14,US-SRM,0,MES,39.29,40.1,,,,,
15,US-SRM,0,MES,,,0.91,R,6.5,4.4,3.7
15,US-SRM,0,MES,,,,,4,,
16,US-SRM,0,GRA,43.47,43.82,,,,,
17,US-SRM,0,GRA,44.06,44.59,,,,,
18,US-SRM,0,GRA,45.25,45.45,,,,,
19,US-SRM,0,GRA,46.1,46.2,,,,,
20,US-SRM,0,GRA,47.18,47.38,,,,,
21,US-SRM,0,GRA,52.01,52.78,,,,,
22,US-SRM,0,GRA,53.75,53.95,,,,,
23,US-SRM,0,GRA,54.4,54.76,,,,,
24,US-SRM,0,GRA,54.91,55.23,,,,,
25,US-SRM,0,GRA,55.28,56.13,,,,,
26,US-SRM,0,GRA,55.46,55.97,,,,,
27,US-SRM,0,GRA,56.26,56.67,,,,,
28,US-SRM,0,GRA,57.1,57.44,,,,,
29,US-SRM,270,GRA,0.84,1.68,,,,,
30,US-SRM,270,GRA,1.85,2.49,,,,,
31,US-SRM,270,GRA,2.81,2.98,,,,,
32,US-SRM,270,GRA,3.41,3.49,,,,,
33,US-SRM,270,EPH,4.79,6.06,,,,,
34,US-SRM,270,MES,5.91,10.67,,,,,
35,US-SRM,270,GRA,7.24,7.38,,,,,
36,US-SRM,270,GRA,8.15,8.39,,,,,
37,US-SRM,270,GRA,8.95,9.23,,,,,
38,US-SRM,270,GRA,9.98,10.1,,,,,
39,US-SRM,270,GRA,10.6,11.02,,,,,
40,US-SRM,270,GRA,12.75,12.89,,,,,
41,US-SRM,270,GRA,14.6,14.73,,,,,
42,US-SRM,270,GRA,16.03,16.64,,,,,
43,US-SRM,270,GRA,19.76,20.21,,,,,
44,US-SRM,270,GRA,21.15,21.5,,,,,
45,US-SRM,270,GRA,21.93,22.09,,,,,
46,US-SRM,270,GRA,22.71,22.92,,,,,
47,US-SRM,270,GRA,23.63,23.85,,,,,
48,US-SRM,270,GRA,25.06,25.24,,,,,
49,US-SRM,270,GRA,25.53,25.92,,,,,
50,US-SRM,270,MES,28.28,29.91,,,,,
51,US-SRM,270,HAC,29.83,32.02,,,,,
52,US-SRM,270,CHO,29.98,30.08,,,,,
53,US-SRM,270,GRA,29.77,29.98,,,,,
54,US-SRM,270,GRA,31,31.57,,,,,
55,US-SRM,270,GRA,33.84,34.09,,,,,
56,US-SRM,270,GRA,35.88,36.02,,,,,
57,US-SRM,270,GRA,36.77,36.97,,,,,
58,US-SRM,270,GRA,37.54,37.86,,,,,
59,US-SRM,270,GRA,38.41,38.74,,,,,
60,US-SRM,270,GRA,38.94,39.16,,,,,
61,US-SRM,270,GRA,41.17,41.41,,,,,
62,US-SRM,270,GRA,42.18,43.5,,,,,
63,US-SRM,270,GRA,44.81,45.31,,,,,
64,US-SRM,270,GRA,45.45,45.72,,,,,
65,US-SRM,270,GRA,47.73,47.79,,,,,
66,US-SRM,270,GRA,49.77,50.38,,,,,
67,US-SRM,270,GRA,51.33,51.41,,,,,
68,US-SRM,270,GRA,52.21,53.81,,,,,
69,US-SRM,270,MES,,,0.8,L,4.5,5,2.5
69,US-SRM,270,MES,,,,,3,8,
69,US-SRM,270,MES,,,,,,17,
69,US-SRM,270,MES,,,,,,13,
70,US-SRM,270,EPH,,,0.35,L,1.2,2,2.3
70,US-SRM,270,EPH,,,,,1,,
71,US-SRM,270,HAC,,,0.45,L,3,2.6,
71,US-SRM,270,HAC,,,,,2,2.1,
71,US-SRM,270,HAC,,,,,,3.8,
71,US-SRM,270,HAC,,,,,,1,
71,US-SRM,270,HAC,,,,,,6.9,
72,US-SRM,180,GRA,0.77,1.01,,,,,
73,US-SRM,180,GRA,3.1,3.18,,,,,
74,US-SRM,180,GRA,3.86,4.05,,,,,
75,US-SRM,180,GRA,4.42,4.77,,,,,
76,US-SRM,180,GRA,4.9,5.52,,,,,
77,US-SRM,180,MES,6.12,6.21,,,,,
78,US-SRM,180,GRA,7.47,7.5,,,,,
79,US-SRM,180,GRA,7.71,7.9,,,,,
80,US-SRM,180,GRA,9.22,9.5,,,,,
81,US-SRM,180,GRA,10.34,10.64,,,,,
82,US-SRM,180,GRA,10.79,44.4,,,,,
83,US-SRM,180,GRA,11.29,44.52,,,,,
84,US-SRM,180,GRA,12.76,13.08,,,,,
85,US-SRM,180,GRA,14.9,15.16,,,,,
86,US-SRM,180,GRA,16.76,17.2,,,,,
87,US-SRM,180,GRA,17.19,17.24,,,,,
88,US-SRM,180,GRA,18.8,18.12,,,,,
89,US-SRM,180,GRA,19.35,19.52,,,,,
90,US-SRM,180,GRA,19.72,19.83,,,,,
91,US-SRM,180,GRA,20.21,20.39,,,,,
92,US-SRM,180,GRA,21.28,21.31,,,,,
93,US-SRM,180,GRA,23.47,23.54,,,,,
94,US-SRM,180,GRA,23.83,24.31,,,,,
95,US-SRM,180,MES,24.9,25.35,,,,,
96,US-SRM,180,GRA,24.81,25.12,,,,,
97,US-SRM,180,GRA,25.65,25.71,,,,,
98,US-SRM,180,GRA,56.05,26.49,,,,,
99,US-SRM,180,MES,26.16,27.7,,,,,
100,US-SRM,180,GRA,26.9,27.02,,,,,
101,US-SRM,180,HAC,28.52,28.8,,,,,
102,US-SRM,180,HAC,29.1,31.58,,,,,
103,US-SRM,180,GRA,29.18,39.4,,,,,
104,US-SRM,180,MES,31.69,32.98,,,,,
105,US-SRM,180,MES,29.24,30.33,,,,,
106,US-SRM,180,GRA,31.09,31.2,,,,,
107,US-SRM,180,GRA,32.2,32.58,,,,,
108,US-SRM,180,GRA,35.11,35.52,,,,,
109,US-SRM,180,GRA,36.11,36.82,,,,,
110,US-SRM,180,GRA,39.65,39.73,,,,,
111,US-SRM,180,GRA,41.56,41.76,,,,,
112,US-SRM,180,GRA,42.78,43.33,,,,,
113,US-SRM,180,MES,43.26,46.9,,,,,
114,US-SRM,180,MES,,,0.28,L,3.82,11.8,2.9
114,US-SRM,180,MES,,,,,2.72,11.9,
115,US-SRM,180,GRA,45.4,45.59,,,,,
116,US-SRM,180,GRA,48.98,49.19,,,,,
117,US-SRM,180,GRA,50.3,50.37,,,,,
118,US-SRM,180,GRA,50.51,50.78,,,,,
119,US-SRM,180,GRA,52.11,52.49,,,,,
120,US-SRM,180,MES,54.59,58.76,,,,,
121,US-SRM,180,MES,,,0.34,R,1.81,1.79,1.51
121,US-SRM,180,MES,,,,,1.72,2.56,
121,US-SRM,180,MES,,,,,3.6,2.4,
122,US-SRM,180,GRA,56.4,58.28,,,,,
123,US-SRM,180,MES,,,0.49,L,3.4,5.4,3.5
123,US-SRM,180,MES,,,,,5.1,4.5,
124,US-SRM,90,MES,0,0.99,,,,,
125,US-SRM,90,MES,0.5,1.02,,,,,
126,US-SRM,90,GRA,1.88,2.67,,,,,
127,US-SRM,90,GRA,6.13,6.26,,,,,
128,US-SRM,90,GRA,6.67,7.06,,,,,
129,US-SRM,90,MES,6.82,9.01,,,,,
130,US-SRM,90,GRA,11.27,11.47,,,,,
131,US-SRM,90,GRA,12.7,13.19,,,,,
132,US-SRM,90,GRA,13.54,13.81,,,,,
133,US-SRM,90,GRA,15.08,15.44,,,,,
134,US-SRM,90,MES,,,0.64,L,1.13,4.6,0.93
134,US-SRM,90,MES,,,,,1.21,4.8,
134,US-SRM,90,MES,,,,,,5.8,
135,US-SRM,90,GRA,17.13,17.67,,,,,
136,US-SRM,90,GRA,19.29,19.41,,,,,
